Source,Target,Weight
一関市　川崎市民センター（生涯学習ステーション）,旧東和町役場庁舎,15.01895280154949
ツインモールプラザ（東館・西館）,イオンタウン　北上　(マックスバリュー棟),2.041837555752744
ツインモールプラザ（東館・西館）,イオンスーパーセンター　金ケ崎店,6.234756832139831
リサージュ四季の抄,コープ　Aterui,0.6212607391210461
リサージュ四季の抄,イオンスーパーセンター　金ケ崎店,8.516760652545079
メガネの相沢　一関山目店,旧金成町役場庁舎生涯学習センター,12.788604096944072
一戸ショッピングセンター　イコオ,イオンスーパーセンター盛岡渋民店,34.54558984632774
イオンタウン　釜石,ジャスコ気仙沼店,47.70565825316938
ビッグハウス上盛岡店,マックスバリュ盛岡駅前北通店,1.8750250684610452
ビッグハウス上盛岡店,いわて生協ベルフ山岸,2.361339359917243
ビッグハウス上盛岡店,住宅型有料老人ホーム　アルテプラド黒石野,2.6440561216267073
マックスバリュ盛岡津志田店,ケーズデンキ盛岡南店,0.43225803886908293
マックスバリュ盛岡津志田店,スポーツデポ盛岡南店,3.015594141788696
マックスバリュ盛岡駅前北通店,イオンモール盛岡南･イオン盛岡南店,1.9901552601049222
マックスバリュ盛岡駅前北通店,イオンモール盛岡･イオン盛岡店,3.4691966612849594
イオンモール盛岡南･イオン盛岡南店,ヤマダ電機テックランドNｅｗ盛岡本店,0.7528098021322825
住宅型有料老人ホーム　アルテプラド黒石野,イオンスーパーセンター盛岡渋民店,9.680304193632693
ヤマダ電機テックランドNｅｗ盛岡本店,スポーツデポ盛岡南店,0.3386559751307817
ヨークベニマル古川福浦店,ジラフィ100古川店,1.3709759689127399
ショッピングプラザハマダ,気仙沼市総合体育館ケーウェーブ,10.743567998019365
ショッピングプラザハマダ,旧東和町役場庁舎,19.752130240205183
みやぎ生協岩沼店,ヨークベニマル岩沼西店,2.227043524713639
みやぎ生協岩沼店,ジャスコ名取店,3.3411694691768696
イトーヨーカドー石巻あけぼの店,わたなべ整形外科,2.0948224095239643
イトーヨーカドー石巻あけぼの店,みやぎ生協石巻大橋店,3.911987214420035
旧東和町役場庁舎,みやぎ生協加賀野店,12.28760002496945
ジラフィ100古川店,コジマNEW大崎店,0.17780064908261187
仙台空港旅客ターミナル,ダイヤモンドシティ仙台名取ショッピングセンター,4.4168871235670775
仙台空港旅客ターミナル,みやぎ生協高砂支店,13.564740603710488
ヨークベニマル角田店,コメリパワー角田店,0.10817319554191882
みやぎ生協加賀野店,登米市消防防災センター,1.3925203460422801
宮城県古川合同庁舎,ジャスコ古川店,0.42054942916973825
宮城県古川合同庁舎,アインパルラ浦島,1.149817992579758
田尻町スキップセンター,アインパルラ浦島,5.619078154325083
田尻町スキップセンター,松山町保健福祉センターさんさん館,8.233600428316535
田尻町スキップセンター,くりはら斎苑,10.573128049279621
コメリパワー角田店,角田市総合福祉センター,0.3618511754248314
大崎市古川保健福祉プラザ,財団法人佐藤病院,0.399000822179773
大崎市古川保健福祉プラザ,電激倉庫古川バイパス店,1.3654336325386462
みやぎ生協石巻大橋店,道の駅　かほく,5.071826920868208
利府掖済（エキサイ）会病院,みやぎ生協利府店,1.7191673614638026
利府掖済（エキサイ）会病院,ヨークタウン利府野中,1.8527119798490197
東北歴史博物館,ヤマザワ多賀城店,0.348027433090494
東北歴史博物館,ヨークタウン利府野中,1.651359367911038
東北歴史博物館,多賀城小学校,1.7681265949619678
パレットおおさき,カインズホーム古川店,0.44009156019899176
パレットおおさき,電激倉庫古川バイパス店,0.8306648458416385
ヨークベニマル中新田店,イオンSuC加美店,1.9761738668112223
気仙沼市総合体育館ケーウェーブ,デイリーポート新鮮館気仙沼店,1.983997555655733
わくや天平の湯,イオンSuC涌谷店,0.49552089555479506
わくや天平の湯,河南町多目的ふれあい交流施設,6.013142803532847
気仙沼市民健康管理センターすこやか,気仙沼保健福祉事務所,0.7881413847167482
タカカツホームプラス佐沼店,ロックシティ佐沼,0.33786777757485204
タカカツホームプラス佐沼店,デイリーポート新鮮館佐沼店,0.6056237429704862
ボートピア川崎,川崎こころ病院,4.030486113332757
ボートピア川崎,七十七銀行蔵王支店,6.343561485622284
ロイヤルホームセンター塩釜店,みやぎ生協塩釜杉の入店,1.9823333951675097
ロイヤルホームセンター塩釜店,マックスバリュー多賀城鶴ヶ谷店,2.3669228906361153
旧金成町役場庁舎生涯学習センター,マックスバリュー金成店,4.388206265209612
旧金成町役場庁舎生涯学習センター,イオン栗原ショッピングセンター,4.542010925150175
フラップ大郷21（第二町民体育館）,介護老人保健施設羽生の丘オーベルジュ,2.5852427254699504
フラップ大郷21（第二町民体育館）,サテライト大和,8.302014868197757
ジャスコ古川店,財団法人佐藤病院,1.3038034334608681
電激倉庫古川バイパス店,コジマNEW大崎店,1.3488211552176144
電激倉庫古川バイパス店,短期入所生活介護施設楽々楽館,5.192591391848861
松山町保健福祉センターさんさん館,ヨークタウン涌谷,6.747224575697908
松山町保健福祉センターさんさん館,介護老人保健施設羽生の丘オーベルジュ,9.213836905878972
マックスバリュー柴田店,市街地再開発事業　オーガ,6.300210960504877
マックスバリュー柴田店,ショッピングパーク亘理,6.899327098824176
ジャスコ気仙沼店,デイリーポート新鮮館気仙沼店,2.3268188557133866
フォルテ　たのし館,市街地再開発事業　オーガ,1.5198971205693201
マックスバリュー河北店,道の駅　かほく,2.7011598174443203
市街地再開発事業　オーガ,ケーズデンキ大河原店,2.492792810409674
市街地再開発事業　オーガ,角田市総合福祉センター,6.9961555089299
七十七銀行蔵王支店,みやぎ生協大河原店,7.53720603468334
七十七銀行蔵王支店,白石カタクラショッピングセンター,9.25796869598388
みやぎ生協塩釜杉の入店,特養ホーム十符風の音,3.1237865039519885
デイリーポート新鮮館気仙沼店,気仙沼保健福祉事務所,0.1503433389488043
ジャスコ利府店,みやぎ生協利府店,0.31464050822055184
みやぎ生協亘理店,仙台銀行亘理支店,2.0323821019606796
みやぎ生協亘理店,ヨークベニマル岩沼西店,6.096734900564384
ヨークベニマル多賀城店,みやぎ生協高砂支店,1.0018696434216428
ヨークベニマル多賀城店,ヤマザワ多賀城店,1.2411218364204748
くりはら斎苑,ケーズデンキ築館店,2.0889680235075034
くりはら斎苑,一迫町地域交流センター,6.192057436400433
栗原中央病院,ビックハウス築館店,0.32711160606572265
栗原中央病院,ケーズデンキ築館店,0.8826421693806896
公立加美病院,加美老人保健施設,0.08462966005361772
公立加美病院,イオンSuC加美店,2.073177150515161
ヨークベニマル若柳店,イオン栗原ショッピングセンター,6.254735121496728
ヨークベニマル若柳店,ロックシティ佐沼,10.190171570076803
わたなべ整形外科,マックスバリュー矢本店,6.044512890684416
みやぎ生協明石台店,ヨークベニマル富谷明石台店,0.3928500798306194
みやぎ生協明石台店,介護老人保健施設　リーブズ,1.6307719824599158
介護老人保健施設　リーブズ,カインズホーム仙台富谷店,1.1207243294111973
介護老人保健施設　リーブズ,大和町庁舎,6.172495917458826
カインズホーム仙台富谷店,ジャスコ富谷店,0.2751232226418057
マックスバリュー矢本店,河南町多目的ふれあい交流施設,6.607516987461293
サテライト大和,大和町庁舎,3.64467806080209
